timesteps,total_reward,kl_divergence,clip_fraction,entropy_loss,step_reward,cost_of_intervention,pressure_deficit,demand_satisfaction,pipe_changes,downgraded_pipes,budget_before_step,budget_exceeded,simulation_error
12576,,,,,0.08914597490724073,767523.9817641105,1.0,0.9999999874848788,0,,500000.0,True,
12728,,,,,0.08918132748462325,735262.1595918362,1.0,0.9999999933245287,0,,500000.0,True,
12728,,,,,0.08904358631918324,859243.8243365142,1.0,0.9999999751243857,0,,500000.0,True,
12728,,,,,0.08930132225136034,627582.6928314856,1.0,1.0,0,,500000.0,True,
12728,,,,,0.06547987289110682,12348119.629572362,0.9734086516273509,0.5145126105667519,29,,1500000.0,True,
12728,,,,,0.0892531601477671,671395.9636098383,1.0,0.9999999927714697,0,,500000.0,True,
12728,,,,,0.07405666255768205,14321245.794956874,1.0,0.9999999801046268,31,,1500000.0,True,
12728,,,,,0.08924439600331624,678836.1777545303,1.0,0.9999999884732335,0,,500000.0,True,
12936,,,,,0.08908493127806892,822384.8396518043,1.0,0.999999993099772,0,,500000.0,True,
13072,,,,,0.08907827129270193,828083.1120528142,1.0,0.9999999945172464,0,,500000.0,True,
13072,,,,,0.08858412319660762,1271801.6195608927,1.0,0.9999999773161731,1,,500000.0,True,
13072,,,,,0.08062126779658291,8424530.472715786,1.0,0.9999999987333534,21,,500000.0,True,
13072,,,,,0.0866957524978668,2970461.132405754,1.0,0.9999999916627464,3,,500000.0,True,
13072,,,,,0.07894188394654739,9933052.109901618,1.0,0.9999999987333534,16,,500000.0,True,
