timesteps,total_reward,kl_divergence,entropy_loss,clip_fraction,step_reward,pipe_changes,cumulative_pipe_changes,cumulative_budget,pressure_deficit,demand_satisfaction,cost_of_intervention,simulation_success,weighted_cost,weighted_pd,weighted_demand,action_taken
24800,0.71129066,0.0011745403,-0.3857498956844211,0.00380859375,0.7112906346579129,1,5391061.916087611,87.6199250936508,0.5153660937436605,331611.81022410473,True,0.26735527591035807,0.29794597534595973,0.1459893834015951,80,3
24900,0.09980517,0.0011745403,-0.3857498956844211,0.00380859375,0.09980516633343098,0,-468639.76186497486,0.0,1.0,4870.841664225798,True,0.3980516633343097,0.3,0.3,80,0
24977,0.0,0.0011745403,-0.3857498956844211,0.00380859375,0.0,0,-1001019.0164186443,0.0,1.0,4843.761590085736,True,0.39806249536396576,0.3,0.3,80,0
25000,0.85584015,0.0011745403,-0.3857498956844211,0.00380859375,0.8558401457743071,0,13119386.068510337,48.805849437713626,0.5560366961805863,4810.7554093572635,True,0.3980756978362571,0.29885996574785223,0.1589044821901978,80,0
25100,0.7421147,0.0011745403,-0.3857498956844211,0.00380859375,0.7421147423718752,0,7414090.830468631,196.15130667686458,0.20901322096131938,4801.892300853172,True,0.39807924307965875,0.2954181883771831,0.0486173109150334,80,0
25200,0.99815315,0.0011745403,-0.3857498956844211,0.00380859375,0.9981531294910002,0,3396897.6081158617,0.0,1.0,4617.176272499772,True,0.3981531294910001,0.3,0.3,80,0
25300,0.09981934,0.0011745403,-0.3857498956844211,0.00380859375,0.09981934313642704,0,-363265.0488287996,0.0,1.0,4516.421589323925,True,0.39819343136427043,0.3,0.3,80,0
25332,0.0,0.0011745403,-0.3857498956844211,0.00380859375,0.0,0,-1000938.4580219737,71.907624168396,0.7337148742474423,4786.913029223451,True,0.39808523478831065,0.2983203416089057,0.215372199954643,80,0
25400,0.67580336,0.0011745403,-0.3857498956844211,0.00380859375,0.6758033731062101,0,13001359.64295042,938.1939643859868,0.050980584847946334,4626.733049271983,True,0.39814930678029126,0.2776540663259188,0.0,80,0
25500,0.6769595,0.0011745403,-0.3857498956844211,0.00380859375,0.6769595424778044,0,10302704.343883041,889.5947307586674,0.0509835178317912,4630.154849715792,True,0.3981479380601137,0.2788116044176907,0.0,80,0
25600,0.9122509,0.0011745403,-0.3857498956844211,0.00380859375,0.9122508499278292,0,6062414.139078982,49.63079254150391,0.7335761146165295,4815.649496737851,True,0.39807374020130487,0.29881789220521116,0.21535921752131332,80,0
25700,0.6904532,0.0011745403,-0.3857498956844211,0.00380859375,0.6904531844369474,0,2652364.5259231864,321.22302045822136,0.0557946597985476,4823.178289739312,True,0.3980707286841043,0.2923490998852831,3.3355867559912895e-05,80,0
25800,0.08406921,0.0011745403,-0.3857498956844211,0.00380859375,0.08406920982850723,0,-996527.7395099951,140.70551271438597,0.5151854803459609,4836.990486597638,True,0.3980652038053609,0.2966486716243682,0.14597822285534312,80,0
25801,0.0,0.0011745403,-0.3857498956844211,0.00380859375,0.0,0,-1001364.7299965927,140.70551271438597,0.5151854803459609,4836.990486597638,True,0.3980652038053609,0.2966486716243682,0.14597822285534312,80,0
25900,0.6680459,0.0011745403,-0.3857498956844211,0.00380859375,0.668045899005099,0,10118383.345001135,1407.8884109497067,0.055947009099584104,4825.966524689539,True,0.3980696133901242,0.2699762856149749,0.0,80,0
26000,0.6704278,0.0011745403,-0.3857498956844211,0.00380859375,0.6704277859931407,0,7262301.855841778,1296.5132087707516,0.05525043061647758,4809.037223357595,True,0.398076385110657,0.2723514008824837,0.0,80,0
26100,0.66684926,0.0011745403,-0.3857498956844211,0.00380859375,0.666849244927479,0,5085964.192856028,1463.8326591491693,0.056507519306394256,4835.0249101623185,True,0.3980659900359351,0.2687832548915438,0.0,80,0
26200,0.998361,0.0011745403,-0.3857498956844211,0.00380859375,0.9983609719534479,0,2436782.89228994,0.0,1.0,4097.570116380377,True,0.3983609719534479,0.3,0.3,80,0
26300,0.09983342,0.0011745403,-0.3857498956844211,0.00380859375,0.09983342251974384,0,-456010.96899361076,0.0,1.0,4164.437006404462,True,0.3983342251974382,0.3,0.3,80,0
26400,0.0998634,0.0011745403,-0.3857498956844211,0.00380859375,0.09986339923467169,0,-987530.093352608,0.0,1.0,3415.0191332077475,True,0.3986339923467169,0.3,0.3,80,0
26433,0.0,0.0011745403,-0.3857498956844211,0.00380859375,0.0,0,-1002327.8507657042,0.0,1.0,3485.090000449053,True,0.3986059639998204,0.3,0.3,80,0
26500,0.50579876,0.0011745403,-0.3857498956844211,0.00380859375,0.5057987286954349,0,12043016.22847404,8235.182165527342,0.05095827579427295,4598.2329761588735,True,0.39816070680953647,0.10763802188589841,0.0,80,0
26600,0.6636584,0.0011745403,-0.3857498956844211,0.00380859375,0.6636583976172125,0,4052766.5932045993,1476.8537048339838,0.050968157843518574,4611.074611681321,True,0.3981555701553275,0.26550282746188497,0.0,80,0
26700,0.09980573,0.002761357,-0.4234155432321131,0.02392578125,0.09980573106931175,0,-19114.23610205901,0.0,1.0,4856.723267206434,True,0.39805731069311745,0.3,0.3,80,0
26766,0.0,0.002761357,-0.4234155432321131,0.02392578125,0.0,0,-1003468.4449677521,0.0,1.0,4539.627318859486,True,0.39818414907245625,0.3,0.3,80,0
26800,0.8559211,0.002761357,-0.4234155432321131,0.02392578125,0.8559210870269169,0,11785001.831113763,62.08234051346779,0.5576219295431021,4816.926702536447,True,0.3980732293189855,0.29867607230414456,0.1591717854037868,80,0
26900,0.9981344,0.002761357,-0.4234155432321131,0.02392578125,0.9981343861829339,0,6818333.651469786,0.0,1.0,4664.034542665502,True,0.39813438618293384,0.3,0.3,80,0
27000,0.99811226,0.002761357,-0.4234155432321131,0.02392578125,0.9981122795003503,0,3280578.2835697043,0.0,1.0,4719.301249124369,True,0.3981122795003503,0.3,0.3,80,0
27093,0.0,0.002761357,-0.4234155432321131,0.02392578125,0.0,0,-1001248.8257688233,0.0,1.0,4736.321179028175,True,0.3981054715283887,0.3,0.3,80,0
27100,0.4026796,0.002761357,-0.4234155432321131,0.02392578125,0.4026795930170982,1,17883908.0678341,1171.8350986480712,0.05628353938406987,675818.3583768378,True,0.1296726566492649,0.27300693636783335,0.0,81,5
27200,0.5041713,0.002761357,-0.4234155432321131,0.02392578125,0.5041712832526419,1,8359981.092554104,650.2856887817385,0.05489143285236234,452123.68377574685,True,0.21915052648970126,0.2850207567629407,0.0,82,5
27300,0.65304655,0.002761357,-0.4234155432321131,0.02392578125,0.653046566948466,0,6418096.347678034,1954.5014556884757,0.056145116178361175,4829.388306981495,True,0.3980682446772074,0.25497832227125855,0.0,82,0
27400,0.9985764,0.002761357,-0.4234155432321131,0.02392578125,0.9985764031919537,0,2173386.536390361,0.0,1.0,3558.9920201155705,True,0.3985764031919538,0.3,0.3,82,0
27484,0.0,0.002761357,-0.4234155432321131,0.02392578125,0.0,0,-1001601.7877564837,0.0,1.0,4542.127684928726,True,0.3981831489260286,0.3,0.3,82,0
27500,0.50854546,0.002761357,-0.4234155432321131,0.02392578125,0.5085454312537276,1,16183055.03523186,1765.9985641479484,0.05628353938406987,376937.57432442607,True,0.24922497027022958,0.2593204609834981,0.0,83,4
27600,0.67202276,0.002761357,-0.4234155432321131,0.02392578125,0.672022753147276,0,7945457.233515512,1131.2228225708009,0.05489143285236234,4799.203822162797,True,0.3980803184711349,0.27394243467614104,0.0,83,0
27700,0.91371435,0.002761357,-0.4234155432321131,0.02392578125,0.9137143658442165,0,4711003.322351413,4.034758774638176,0.7346325904181435,4586.232569684784,True,0.3981655069721261,0.29990705987517363,0.21564179899691674,83,0
27800,0.9981765,0.002761357,-0.4234155432321131,0.02392578125,0.9981765194279422,0,2258814.326063829,0.0,1.0,4558.701430144563,True,0.3981765194279422,0.3,0.3,83,0
27900,0.9132334,0.002761357,-0.4234155432321131,0.02392578125,0.9132334057433449,0,951000.6559975524,23.99255291938782,0.7346363468573656,4642.305428957017,True,0.3981430778284172,0.29944733477568786,0.21564299313923982,83,0
28000,0.09127255,0.002761357,-0.4234155432321131,0.02392578125,0.09127255031823385,0,-97385.40386738443,42.549741668701174,0.7344209734913921,4672.242249536212,True,0.3981311031001855,0.2990198724328017,0.2155745276493512,83,0
28100,0.091232106,0.002761357,-0.4234155432321131,0.02392578125,0.09123210452744585,0,-936981.7317886794,42.58393518447876,0.7333360007851927,4819.157303090988,True,0.3980723370787636,0.2990190847897722,0.2152296234059226,83,0
28114,0.0,0.002761357,-0.4234155432321131,0.02392578125,0.0,0,-1004449.9340319537,42.58393518447876,0.7333360007851927,4819.157303090988,True,0.3980723370787636,0.2990190847897722,0.2152296234059226,83,0
28200,0.682997,0.002761357,-0.4234155432321131,0.02392578125,0.6829969906987458,0,8984590.882390015,645.455431365967,0.051225273658406976,4679.901062952449,True,0.398128039574819,0.28486895112392674,0.0,83,0
28300,0.9118588,0.002761357,-0.4234155432321131,0.02392578125,0.9118587692562348,0,4601497.962471883,66.78373615264893,0.7336071381641136,4798.312670323646,True,0.3980806749318706,0.29843442641157425,0.21534366791278986,83,0
28400,0.9129849,0.002761357,-0.4234155432321131,0.02392578125,0.912984904654077,0,2586117.618842676,19.353644294738768,0.7336623882725338,4806.561124829678,True,0.39807737555006817,0.29954630339521027,0.2153612257087985,83,0
